distance_m,synthterrain_height_m,estimated_q10_m,estimated_q50_m,estimated_q90_m
3.3999999999999986,-1.0503086084241742,-1.1112767275077686,-0.9141705181885617,-0.8025862379318602
3.5999999999999988,-1.0252739978403769,-1.0842053650363017,-0.8921807898302155,-0.7832116301436397
3.799999999999999,-0.9989872761866015,-1.0556753789381443,-0.8689462440027887,-0.7627134720651425
3.999999999999999,-0.971346545682378,-1.0271453928399867,-0.8457116981753621,-0.7422153139866453
4.199999999999999,-0.9425553381859488,-0.9961530048557108,-0.8203256344402394,-0.7197540266428218
4.3999999999999995,-0.9125084805451601,-0.9651605100751522,-0.7949396241032581,-0.697292685900857
4.6,-0.8814441102523891,-0.9331939264017073,-0.7686751075462478,-0.674018625448897
4.8,-0.8492529030401272,-0.9002530402428105,-0.7415322449636321,-0.6499318452869415
5.0,-0.8162092578249376,-0.8673122074820551,-0.7143893289828752,-0.6258450117268449
5.2,-0.7821981375274989,-0.8329864405295495,-0.6859354352360149,-0.6005206228448791
5.4,-0.7475307300185958,-0.7986607269751852,-0.6574815414891546,-0.575196180564772
5.6000000000000005,-0.7120840358922141,-0.7639425370825512,-0.6286161082675943,-0.5494682619292952
5.800000000000001,-0.6762053274192193,-0.7288318708516472,-0.5993390821731926,-0.5233369203365902
6.000000000000001,-0.6397607773105497,-0.6937212580188847,-0.5700620560787911,-0.49720552534574397
6.200000000000001,-0.6031317603926659,-0.6584452711426364,-0.5404785246535504,-0.4707293385567743
6.400000000000001,-0.566170285430278,-0.6231693376645292,-0.5108949398301684,-0.4442530716705927
6.600000000000001,-0.5292885908296261,-0.588120506481206,-0.4814225833350334,-0.41784381945169385
6.800000000000002,-0.4923209270514076,-0.5532987775926664,-0.452061348371863,-0.3915015285019366
7.000000000000002,-0.4557059881037672,-0.5184771021022682,-0.42270011340869257,-0.3651592375521793
7.200000000000002,-0.41925667815272427,-0.4847079573742689,-0.3940835689235504,-0.3394290761947695
7.400000000000002,-0.3834327237548538,-0.4509388660444114,-0.3654670244384086,-0.3136989148373599
7.600000000000002,-0.3480223977884134,-0.4179738439256645,-0.3374707794612272,-0.28850428343865864
7.8000000000000025,-0.31350023379123476,-0.3858129711152408,-0.31009480729293604,-0.26384518199866597
8.000000000000004,-0.2796271949295748,-0.3536520716057461,-0.28271883512464446,-0.23918608055867305
8.2,-0.2468858529716706,-0.32359204186696194,-0.25703334131240047,-0.21601894988458914
8.399999999999999,-0.2150080728132254,-0.2935320388272476,-0.23134784750015583,-0.19285181921050462
8.599999999999998,-0.18447744282708584,-0.26472846735233835,-0.20670061379705837,-0.1706134290578406
8.799999999999999,-0.15499606732115592,-0.23718135414130495,-0.1830916936012494,-0.14930377942659714
9.0,-0.12704157957281492,-0.2096342275807359,-0.15948276005590492,-0.12799414314488877
9.2,-0.10028695342555682,-0.18491776318749356,-0.13825810691601412,-0.10883748654499359
9.399999999999999,-0.07519724094183779,-0.160201298794251,-0.11703345377612315,-0.08968083661986588
9.6,-0.05141828676291218,-0.1370075090981416,-0.09711038032947343,-0.07170799011266027
9.8,-0.029396550621104356,-0.11533639409916584,-0.07848889325083301,-0.05491895036076089
10.0,-0.008754102086900062,-0.09366528577495771,-0.05986740617219259,-0.038129913946245333
10.2,0.01008636121877764,-0.07514788502317067,-0.04397374645296081,-0.023836040846203853
10.4,0.02752195357264549,-0.05663048427138362,-0.028080086733729026,-0.00954216691181641
10.600000000000001,0.04315789786571436,-0.0396920899183767,-0.013565479067249107,0.0034844907019230664
10.8,0.05740486873490585,-0.02433271197630139,-0.00042991949037775594,0.015243932829360537
11.0,0.06989905128381879,-0.008973332365534164,0.012705639669320618,0.02700337495679801
11.200000000000001,0.08105830211931386,0.0033201706459676087,0.023142210429034693,0.03627362101204735
11.400000000000002,0.0905516560896208,0.015613673240296402,0.03357878369178664,0.045543868735988605
11.600000000000001,0.09879734559377958,0.026462476816200974,0.04273530338699312,0.05363023628217961
11.8,0.10549801673562963,0.035866580330748715,0.050611776189421656,0.06053272031323642
12.000000000000002,0.11106539402411342,0.04527068384529643,0.058488252329234,0.06743520434429322
12.200000000000003,0.11523545697284433,0.052030541441044666,0.06400997389832672,0.07215551993457037
12.400000000000002,0.1184068068279185,0.058790399036792784,0.06953169546741936,0.07687582885007978
12.600000000000001,0.12034757346514799,0.06437608490434868,0.07400398336630587,0.08062256282981227
12.800000000000002,0.12143720320987074,0.06878759904371234,0.07742685094452162,0.08339572854853547
13.000000000000004,0.12147405600408535,0.07319911985784366,0.08084971852273735,0.08616888759249101
13.200000000000003,0.12081323846473925,0.0755900883804899,0.08246293644314674,0.08726315567705356
13.399999999999999,0.11928086987117312,0.07798105022836846,0.08407616103832377,0.08835742376161608
13.599999999999998,0.11720357418151472,0.07953230628061192,0.08493715934278684,0.08875474598120528
13.799999999999999,0.1144323997726967,0.08024384318768492,0.08504593803130354,0.08845512901058876
14.0,0.11126250461627638,0.0809553800947579,0.08515471671982024,0.08815551203997224
14.2,0.10756685816154814,0.08032484149321048,0.08406397291258093,0.0867481306045894
14.399999999999999,0.10360736747495897,0.07969430956643073,0.08297322910534162,0.0853407424944389
14.6,0.09927589895139902,0.0785521566986922,0.08142790024677815,0.0835161613813824
14.8,0.09480048685770853,0.07689838956476258,0.07942798633689055,0.08127438059065224
15.0,0.09008898822203852,0.07524462243083296,0.07742807242700293,0.07903259979992208
