radius_m,height_q10_m,height_q50_m,height_q90_m
2.3000000000000003,-0.031304375904624725,-0.019272442549962566,-0.011574269004552626
2.325,-0.0278928127672914,-0.016389161705780093,-0.009006272100674579
2.35,-0.024481249629958075,-0.013505880032232607,-0.006438276026161549
2.375,-0.021069688151354782,-0.01062259835868512,-0.003870279536966011
2.4,-0.01816625207854664,-0.008167502085108457,-0.0016879853651591752
2.425,-0.015262816005738495,-0.005712405811531793,0.0004943089103182877
2.45,-0.012359380762295367,-0.003257309745296384,0.0026766032894663776
2.475,-0.009455944689487223,-0.0008022136790609751,0.004858897564943841
2.5,-0.006552509446044096,0.001652882387174434,0.007041192047762558
2.525,-0.0041742866011440566,0.0036579616781154413,0.008814784988255444
2.55,-0.0017960633415615083,0.005663041176397703,0.010588378758113345
2.575,0.0005821597106797857,0.007668120674679964,0.012361971698606231
2.6,0.0029603827629210797,0.009673200172962226,0.014135564639099117
2.625,0.0053386056078211196,0.011678279671244487,0.015909158408957017
2.6500000000000004,0.007196323944692994,0.013231451441995225,0.01726970517848628
2.6750000000000003,0.00905404186688236,0.014784622383380946,0.018630250289285513
2.7,0.010911760618436742,0.016337794154131682,0.019990797058814777
2.725,0.012769478540626109,0.017890965924882422,0.02135134216961401
2.75,0.014627197292180491,0.01944413769563316,0.022711888939143273
2.7750000000000004,0.01598902128383483,0.02056222789630269,0.023672801199387205
2.8000000000000003,0.017350845275489166,0.021680316438242194,0.024633713459631133
2.825,0.018712669267143503,0.022798406638911726,0.025594625719875065
2.8500000000000005,0.02007449325879784,0.023916495180851226,0.026555537980118993
2.8750000000000004,0.02143631890918221,0.025034585381520758,0.02751644858163289
2.9,0.022343642578264128,0.02575064089054784,0.028106752449431307
2.925,0.02325096790607608,0.02646669805830495,0.028697054658499692
2.9499999999999997,0.024158293233888028,0.027182753567332033,0.029287356867568073
2.9749999999999996,0.025065616902969948,0.027898810735089145,0.02987765575917639
3.0,0.0259729422307819,0.028614867902846258,0.030467957968244776
3.025,0.02647995131126513,0.028974712796110472,0.030729154869012402
3.05,0.026986960391748364,0.029334557689374686,0.03099035176978003
3.075,0.027493967813501566,0.029694402582638897,0.031251548670547656
3.1,0.02800097855271483,0.03005424747590311,0.03151274557131528
3.125,0.02850798597446803,0.030414092369167325,0.031773942472082914
3.15,0.02867718639016965,0.030472280618709633,0.03175626372739586
3.175,0.02884638680587127,0.030530468868251944,0.031738584982708797
3.2,0.02901558722157289,0.030588657117794252,0.03172090955548181
3.225,0.029184784319814444,0.030646848684796626,0.03170323081079475
3.25,0.029353984735516064,0.030705036934338938,0.031685552066107694
3.2750000000000004,0.02925168753694784,0.030520645868999104,0.031443961354324965
3.3000000000000003,0.029149390338379617,0.030336258121119338,0.031202373960002295
3.325,0.02904709313981139,0.03015186705577951,0.03096078324821956
3.35,0.028944795941243166,0.02996747599043968,0.030719195853896895
3.375,0.028842498742674944,0.029783088242559912,0.030477605142114162
3.4000000000000004,0.028534621861330926,0.0294156994451076,0.030067945268512017
3.4250000000000003,0.028226744979986913,0.02904831396511536,0.02965828539490987
3.45,0.027918864781182832,0.02868092516766305,0.029248625521307726
3.4750000000000005,0.027610987899838818,0.028313539687670804,0.028838962330245518
3.5000000000000004,0.02730310935976477,0.027946150890218496,0.028429302456643372
3.525,0.026851588116330833,0.027452345300794462,0.027904875052088197
3.55,0.026400065214166865,0.026958538052640396,0.027380444330072955
3.5749999999999997,0.02594854397073293,0.026464732463216366,0.026856015266787745
3.5999999999999996,0.02549702106856896,0.025970926873792335,0.026331586203502535
3.625,0.025045499825135025,0.02547711962563827,0.025807157140217325
3.65,0.02450551685033447,0.02490769087529966,0.02521598575661188
3.675,0.023965535534263952,0.024338262124961048,0.024624814373006433
3.7,0.023425552559463398,0.023768831715892405,0.024033642989400986
3.725,0.02288557124339288,0.023199402965553794,0.02344247160579554
3.75,0.022345589927322357,0.022629974215215183,0.022851300222190094
